poi_id,poi_name,poi_type,address,lat,lng,description,vs_title,vs_addr,vs_tel,vs_lat,vs_lng,vs_content_id,vs_content_type,vs_firstimage,step2_status,step2_match_type,vs_admission_fee,vs_use_time,vs_holiday,vs_homepage,vs_foreign_languages,step2_detail_status,vs_matched,vs_admission_fee_text,vs_admission_fee_value,vs_admission_fee_free,vs_phone
POI_7429959d88,Daehan Hospital (대한의원),history,,,,,,,,37.5783709,126.9989061,,,,not_found,,,,,,['en'],,False,,,,
POI_0f785dbe43,Gyeongsung Industrial Professional School (경성고등공업학교),history,,,,,,,,37.5630964,126.9194615,,,,not_found,,,월요일: 24시간 영업 | 화요일: 24시간 영업 | 수요일: 24시간 영업 | 목요일: 24시간 영업 | 금요일: 24시간 영업 | 토요일: 오전 12:55 ~ 오후 7:55 | 일요일: 오전 12:55 ~ 오후 7:55,,http://gyeongseong.sen.hs.kr/,['en'],,False,,,,02-3140-1168
POI_6a6458bb3e,Keijō Imperial University (경성제국대학),history,,,,,,,,37.4648267,126.9571988,,,,not_found,,,월요일: 오전 9:00 ~ 오후 6:00 | 화요일: 오전 9:00 ~ 오후 6:00 | 수요일: 오전 9:00 ~ 오후 6:00 | 목요일: 오전 9:00 ~ 오후 6:00 | 금요일: 오전 9:00 ~ 오후 6:00 | 토요일: 휴무일 | 일요일: 휴무일,,https://www.snu.ac.kr/index.html,['en'],,False,,,,02-880-5114
POI_549d0e1c45,SNU College of Medicine (서울대학교 의과대학),history,,,,,,,,37.5807021,126.9994326,,,,not_found,,,월요일: 오전 9:00 ~ 오후 5:30 | 화요일: 오전 9:00 ~ 오후 5:30 | 수요일: 오전 9:00 ~ 오후 5:30 | 목요일: 오전 9:00 ~ 오후 5:30 | 금요일: 오전 9:00 ~ 오후 5:30 | 토요일: 휴무일 | 일요일: 휴무일,,https://medicine.snu.ac.kr/,['en'],,False,,,,02-740-8114
POI_2bb3b82531,Korea National Open University (한국방송통신대학교),history,,,,,,,,37.5788204,127.0029303,,,,not_found,,,월요일: 오전 9:00 ~ 오후 6:00 | 화요일: 오전 9:00 ~ 오후 6:00 | 수요일: 오전 9:00 ~ 오후 6:00 | 목요일: 오전 9:00 ~ 오후 6:00 | 금요일: 오전 9:00 ~ 오후 6:00 | 토요일: 휴무일 | 일요일: 휴무일,,https://www.knou.ac.kr/,['en'],,False,,,,1577-9995
POI_879a53b903,Site of Gyeongmogung Palace (경모궁 터),history,,,,,,,,37.5804092,126.9990208,,,,not_found,,,월요일: 오전 6:00 ~ 오전 12:00 | 화요일: 오전 6:00 ~ 오전 12:00 | 수요일: 오전 6:00 ~ 오전 12:00 | 목요일: 오전 6:00 ~ 오전 12:00 | 금요일: 오전 6:00 ~ 오전 12:00 | 토요일: 오전 6:00 ~ 오전 12:00 | 일요일: 오전 6:00 ~ 오전 12:00,,https://terms.naver.com/entry.naver?docId=1999984&cid=42856&categoryId=42856,['en'],,False,,,,02-762-6763
POI_7f2e27e9eb,Artist House (예술가의 집),culture,,,,,brother house(artist house),서울특별시 마포구 연희로1길 55-6 (연남동),,37.5614150131,126.9260787223,2619938.0,32.0,,success,exact_eng,,월요일: 오전 9:00 ~ 오후 6:00 | 화요일: 오전 9:00 ~ 오후 6:00 | 수요일: 오전 9:00 ~ 오후 6:00 | 목요일: 오전 9:00 ~ 오후 6:00 | 금요일: 오전 9:00 ~ 오후 6:00 | 토요일: 휴무일 | 일요일: 휴무일,,https://www.arko.or.kr/arthouse/,,success,True,,,,02-760-4715
POI_b80e1854e0,Samtoh Building (샘터 사옥),tourist_spot,,,,,,,,37.5815056,127.0023001,,,,not_found,short_kor,,,,,,,False,,,,02-3675-3737
POI_fc413cf6fb,Unhyeongung Palace (운현궁),history,,,,,서울 운현궁,서울특별시 종로구 삼일대로 464,,37.5764588036,126.9871421746,127454.0,12.0,http://tong.visitkorea.or.kr/cms/resource/06/3577706_image2_1.jpg,success,exact_kor,,"[하절기(4월~10월)]<br>
09:00~19:00 (입장 마감 18:30)<br>
[동절기(11월~3월)]<br>
09:00~18:00 (입장 마감 17:30)<br>
※ 자세한 사항은 홈페이지 참조","매주 월요일 (단, 월요일이 공휴일인 경우 정상 개장)",http://www.unhyeongung.or.kr,['en'],success,True,,,,02-766-9090
POI_0e593d15b7,Bukchon Culture Center (북촌문화센터),culture,,,,,북촌문화센터,서울특별시 종로구 계동길 37 (계동),,37.5790529392,126.9867060298,130903.0,12.0,http://tong.visitkorea.or.kr/cms/resource/09/3339109_image2_1.jpg,success,exact_kor,,"- 화요일 / 목요일~금요일 09:00~18:00<br>
- 수요일 09:00~20:00<br>
- 토요일~일요일 09:00~17:00",,"서울한옥포털 https://hanok.seoul.go.kr
공식 인스타그램 https://www.instagram.com/bukchon_culture_center/",,success,True,,,,02-741-1033
