poi_id,poi_name,poi_type,address,lat,lng,description,vs_title,vs_addr,vs_tel,vs_lat,vs_lng,vs_content_id,vs_content_type,vs_firstimage,step2_status,step2_match_type,vs_admission_fee,vs_use_time,vs_holiday,vs_homepage,vs_foreign_languages,step2_detail_status,vs_matched,vs_admission_fee_text,vs_admission_fee_value,vs_admission_fee_free,vs_phone
POI_7429959d88,Daehan Hospital (대한의원),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_0f785dbe43,Gyeongsung Industrial Professional School (경성고등공업학교),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_6a6458bb3e,Keijō Imperial University (경성제국대학),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_549d0e1c45,SNU College of Medicine (서울대학교 의과대학),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_2bb3b82531,Korea National Open University (한국방송통신대학교),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_879a53b903,Site of Gyeongmogung Palace (경모궁 터),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_7f2e27e9eb,Artist House (예술가의 집),culture,,,,,brother house(artist house),서울특별시 마포구 연희로1길 55-6 (연남동),,37.5614150131,126.9260787223,2619938.0,32.0,,success,exact_eng,,,,,,success,True,,,,
POI_b80e1854e0,Samtoh Building (샘터 사옥),tourist_spot,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_fc413cf6fb,Unhyeongung Palace (운현궁),history,,,,,서울 운현궁,서울특별시 종로구 삼일대로 464,,37.5764588036,126.9871421746,127454.0,12.0,http://tong.visitkorea.or.kr/cms/resource/06/3577706_image2_1.jpg,success,exact_kor,,"[하절기(4월~10월)]<br>
09:00~19:00 (입장 마감 18:30)<br>
[동절기(11월~3월)]<br>
09:00~18:00 (입장 마감 17:30)<br>
※ 자세한 사항은 홈페이지 참조","매주 월요일 (단, 월요일이 공휴일인 경우 정상 개장)",http://www.unhyeongung.or.kr,['en'],success,True,,,,
POI_0e593d15b7,Bukchon Culture Center (북촌문화센터),culture,,,,,북촌문화센터,서울특별시 종로구 계동길 37 (계동),,37.5790529392,126.9867060298,130903.0,12.0,http://tong.visitkorea.or.kr/cms/resource/09/3339109_image2_1.jpg,success,exact_kor,,"- 화요일 / 목요일~금요일 09:00~18:00<br>
- 수요일 09:00~20:00<br>
- 토요일~일요일 09:00~17:00",,"서울한옥포털 https://hanok.seoul.go.kr
공식 인스타그램 https://www.instagram.com/bukchon_culture_center/",,success,True,,,,
POI_2809199056,Choongang Middle & High School (중앙중고등학교),tourist_spot,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
